선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
김윤수,삼성,0,0,0,0,0,4,0,5.1,3.38,11.81,0.0,0.4,53.8,10.12,6.97,7.96,-0.15,-0.29
손현기,Hero,0,1,0,0,0,6,2,14.1,5.65,5.02,1.26,0.319,55.6,7.53,6.65,7.16,-0.15,-0.23
박민호,SSG,2,0,0,0,0,19,0,22.2,3.97,2.78,1.59,0.28,70.4,4.76,6.26,6.66,-0.16,0.29
문용익,KT,0,0,0,0,0,12,0,17.0,9.0,11.65,1.06,0.382,45.2,12.18,7.55,7.97,-0.16,-0.63
육청명,KT,1,5,0,0,0,13,10,44.2,4.03,4.03,1.21,0.299,67.5,5.44,6.25,6.78,-0.16,0.57
이로운,SSG,1,3,1,8,1,62,0,56.0,6.59,6.91,0.64,0.344,65.2,5.95,5.5,5.79,-0.16,0.48
김민재,KIA,0,0,0,0,0,4,0,4.0,6.75,2.25,6.75,0.429,58.8,15.75,13.54,13.79,-0.17,-0.19
박소준,두산,0,1,0,0,0,1,1,4.0,4.5,4.5,4.5,0.286,57.7,11.25,10.79,11.17,-0.17,-0.14
신헌민,SSG,0,0,0,0,0,3,0,3.0,0.0,9.0,6.0,0.417,48.8,18.0,16.45,18.08,-0.18,-0.23
이상민,삼성,2,1,1,8,0,37,0,30.0,3.6,1.8,0.6,0.302,73.3,3.9,4.85,5.32,-0.19,0.99
임상현,NC,1,5,0,0,0,12,7,40.1,4.69,5.13,1.12,0.315,56.2,6.47,6.22,6.67,-0.19,-0.07
김민규,두산,0,1,0,0,0,13,4,25.0,6.84,6.84,1.44,0.271,79.2,4.32,7.11,7.53,-0.2,0.75
이호성,삼성,2,4,0,0,0,16,12,45.0,5.6,5.2,1.8,0.365,67.6,7.4,7.01,7.35,-0.2,-0.09
김범수,한화,0,0,0,4,1,39,0,34.0,10.06,5.29,2.91,0.268,89.2,5.29,7.87,7.77,-0.21,0.7
정지헌,LG,0,0,0,1,0,17,0,12.1,8.03,8.03,1.46,0.405,49.7,11.68,7.52,7.96,-0.21,-0.67
고효준,SSG,2,1,0,5,1,26,0,22.0,11.05,8.18,1.64,0.339,59.9,8.18,6.42,6.25,-0.21,-0.46
박종훈,SSG,1,4,0,0,0,10,9,35.0,8.74,5.4,1.8,0.319,67.6,6.94,6.93,7.1,-0.21,0.05
이태양,한화,0,2,0,0,0,10,1,9.1,1.93,1.93,3.86,0.325,44.8,11.57,9.57,10.11,-0.21,-0.37
김기훈,KIA,1,0,0,0,0,17,0,19.2,7.78,6.86,0.46,0.254,64.4,5.03,5.46,5.76,-0.22,-0.15
전루건,NC,0,0,0,0,0,6,0,5.2,0.0,14.29,0.0,0.517,50.0,22.24,10.67,13.05,-0.22,-0.44
함덕주,LG,0,1,0,3,0,15,0,11.2,6.17,5.4,1.54,0.333,76.9,5.4,6.7,7.03,-0.23,-0.03
박윤성,Hero,0,0,0,1,0,17,0,18.2,6.75,4.34,2.41,0.173,68.8,5.79,7.22,7.3,-0.24,0.02
손동현,KT,1,2,1,4,4,42,0,47.1,5.13,3.8,0.95,0.285,62.5,5.32,5.22,5.47,-0.24,0.45
목지훈,NC,0,1,0,0,0,3,3,9.0,3.0,10.0,1.0,0.371,56.9,12.0,8.56,9.74,-0.25,-0.38
윤석원,Hero,0,1,0,0,0,11,1,17.1,0.52,3.63,1.56,0.378,44.7,11.42,7.48,8.43,-0.26,-0.77
